                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.64413,                0.36198,                0.93781,                0.98119,                      1,                0.98251,                0.85835,                0.62654,                0.36078,                0.93165,              0.0015327,              0.0015327,              0.0015327
                    121,                0.60719,                0.35101,                0.90804,                  0.981,                      1,                0.98107,                0.86032,                0.59416,                0.33856,                0.90964,              0.0015288,              0.0015288,              0.0015288
                    122,                0.61751,                0.35953,                0.93379,                0.97997,                      1,                0.98124,                0.84953,                0.62898,                0.40276,                0.92645,              0.0015248,              0.0015248,              0.0015248
                    123,                0.62329,                 0.3598,                0.91575,                0.98122,                      1,                0.98377,                0.85301,                0.60605,                0.35673,                0.91695,              0.0015208,              0.0015208,              0.0015208
                    124,                0.63996,                0.36148,                0.92969,                0.98117,                      1,                0.98459,                0.85906,                0.61546,                0.34722,                 0.9236,              0.0015169,              0.0015169,              0.0015169
                    125,                0.62583,                 0.3605,                0.93143,                 0.9801,                      1,                0.98517,                0.85905,                0.61494,                0.35028,                0.94317,              0.0015129,              0.0015129,              0.0015129
                    126,                0.61729,                  0.354,                0.91266,                0.98062,                      1,                 0.9841,                0.85098,                0.60632,                0.34236,                 0.9138,               0.001509,               0.001509,               0.001509
                    127,                  0.611,                0.34456,                0.91859,                0.98129,                      1,                0.98331,                0.84396,                0.63603,                0.35251,                0.92558,               0.001505,               0.001505,               0.001505
                    128,                0.62576,                0.35017,                0.91608,                0.98113,                      1,                0.98127,                0.85468,                0.57973,                0.32965,                0.91344,               0.001501,               0.001501,               0.001501
                    129,                0.60923,                0.35239,                0.92461,                0.98124,                      1,                0.98168,                0.86601,                0.61041,                0.33224,                0.91575,              0.0014971,              0.0014971,              0.0014971
                    130,                0.60795,                0.34514,                0.92129,                0.98123,                      1,                0.98699,                0.85396,                0.64943,                0.34193,                0.92699,              0.0014931,              0.0014931,              0.0014931
                    131,                0.62018,                0.34587,                0.92941,                0.98134,                      1,                0.98603,                0.86795,                 0.5871,                0.33251,                0.92519,              0.0014892,              0.0014892,              0.0014892
                    132,                0.63198,                0.35565,                0.93534,                0.98169,                0.99915,                0.98399,                0.84896,                0.65194,                0.46636,                0.93088,              0.0014852,              0.0014852,              0.0014852
                    133,                0.60674,                 0.3515,                0.93312,                0.98064,                      1,                0.98315,                0.86272,                0.59098,                0.31991,                0.90971,              0.0014812,              0.0014812,              0.0014812
                    134,                0.61256,                0.34862,                0.92028,                0.98083,                      1,                0.98002,                0.85588,                 0.6137,                0.33863,                0.92049,              0.0014773,              0.0014773,              0.0014773
                    135,                0.60598,                0.34327,                 0.9068,                0.98106,                      1,                0.97835,                0.86353,                0.58394,                 0.3292,                0.89625,              0.0014733,              0.0014733,              0.0014733
                    136,                0.62109,                0.34952,                0.93025,                0.95167,                      1,                0.98332,                0.85571,                0.61859,                  0.401,                0.93232,              0.0014694,              0.0014694,              0.0014694
                    137,                 0.6196,                0.34593,                0.92273,                0.98121,                      1,                0.98166,                0.86421,                0.61353,                0.32581,                0.91519,              0.0014654,              0.0014654,              0.0014654
                    138,                0.60929,                0.33914,                0.92345,                 0.9812,                      1,                0.98063,                0.85418,                0.58437,                0.32384,                0.90282,              0.0014614,              0.0014614,              0.0014614
                    139,                 0.6161,                  0.346,                0.92215,                0.98133,                      1,                0.98574,                 0.8695,                0.61195,                0.32409,                 0.9261,              0.0014575,              0.0014575,              0.0014575
                    140,                0.62268,                0.35655,                0.92471,                0.98132,                      1,                0.98382,                0.86319,                 0.6012,                0.32577,                0.92733,              0.0014535,              0.0014535,              0.0014535
                    141,                 0.6032,                0.33811,                0.91276,                0.98124,                      1,                0.98327,                0.87109,                0.56966,                0.31713,                0.90905,              0.0014496,              0.0014496,              0.0014496
                    142,                0.61464,                0.34739,                0.92971,                0.98081,                      1,                0.98366,                0.84536,                0.63286,                0.35092,                0.92279,              0.0014456,              0.0014456,              0.0014456
                    143,                0.61294,                0.34628,                0.91146,                0.98061,                      1,                0.98364,                0.86558,                0.60926,                0.33993,                0.91082,              0.0014416,              0.0014416,              0.0014416
                    144,                0.61371,                0.35266,                0.92233,                0.98119,                      1,                0.97896,                0.86393,                0.59018,                0.31616,                0.91219,              0.0014377,              0.0014377,              0.0014377
                    145,                0.59104,                 0.3417,                0.90642,                0.98131,                      1,                 0.9825,                0.87038,                0.57136,                0.31052,                0.90451,              0.0014337,              0.0014337,              0.0014337
                    146,                0.61005,                0.34709,                0.92027,                0.98124,                      1,                0.98409,                0.86058,                0.63687,                0.33391,                0.92699,              0.0014298,              0.0014298,              0.0014298
                    147,                 0.6182,                0.34724,                0.92352,                0.98037,                      1,                0.97881,                0.86347,                 0.5688,                0.31903,                0.89974,              0.0014258,              0.0014258,              0.0014258
                    148,                0.61222,                 0.3427,                 0.9087,                 0.9812,                      1,                0.98165,                 0.8437,                0.63177,                0.33951,                 0.9218,              0.0014218,              0.0014218,              0.0014218
                    149,                0.60858,                0.33492,                0.91116,                0.98086,                      1,                0.98184,                0.86041,                0.57927,                0.32604,                0.90834,              0.0014179,              0.0014179,              0.0014179
                    150,                0.58868,                 0.3353,                0.91304,                0.98129,                      1,                0.98018,                0.85051,                0.61344,                0.34095,                0.91379,              0.0014139,              0.0014139,              0.0014139
                    151,                  0.588,                0.33336,                 0.9026,                0.98127,                      1,                0.97835,                0.86959,                0.58451,                 0.3237,                0.89801,                0.00141,                0.00141,                0.00141
                    152,                 0.5993,                0.33278,                0.91243,                0.98124,                      1,                0.98458,                0.87481,                0.60336,                0.34711,                 0.9092,               0.001406,               0.001406,               0.001406
                    153,                0.60931,                0.33657,                0.91333,                0.98133,                      1,                0.98829,                0.87188,                0.60707,                0.32931,                0.90867,               0.001402,               0.001402,               0.001402
                    154,                0.61137,                0.34105,                0.91673,                0.97736,                      1,                0.98293,                0.85633,                0.61578,                0.34904,                0.92178,              0.0013981,              0.0013981,              0.0013981
                    155,                0.59753,                0.33136,                 0.9146,                0.98134,                      1,                0.98234,                0.87102,                0.57772,                 0.3222,                0.90842,              0.0013941,              0.0013941,              0.0013941
                    156,                 0.6025,                 0.3405,                0.90474,                0.98108,                      1,                0.98246,                0.87526,                0.58287,                0.32161,                0.89765,              0.0013902,              0.0013902,              0.0013902
                    157,                0.61457,                0.33686,                0.90764,                0.98093,                      1,                0.97928,                0.85901,                0.60127,                0.32291,                0.90212,              0.0013862,              0.0013862,              0.0013862
                    158,                0.58421,                0.32614,                0.89454,                0.98107,                      1,                0.98326,                0.86584,                0.57506,                0.31733,                0.90016,              0.0013822,              0.0013822,              0.0013822
                    159,                0.58973,                0.32836,                0.91051,                0.98024,                      1,                 0.9823,                0.87051,                0.57864,                0.32453,                0.89816,              0.0013783,              0.0013783,              0.0013783
                    160,                0.59852,                 0.3253,                 0.9107,                0.98033,                      1,                 0.9853,                0.86257,                0.59537,                 0.3374,                0.89672,              0.0013743,              0.0013743,              0.0013743
