                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.1144,                 0.8324,                 1.0965,                0.80664,                 0.8259,                0.88311,                0.59213,                 1.2507,                 1.0466,                  1.223,             0.00098022,             0.00098022,             0.00098022
                    112,                 1.1387,                0.84783,                 1.1544,                0.72245,                  0.875,                0.84856,                0.54957,                  1.245,                 1.1177,                 1.1897,             0.00097775,             0.00097775,             0.00097775
                    113,                 1.0986,                0.79509,                   1.15,                0.66618,                  0.875,                0.78965,                0.52755,                 1.2934,                 1.2721,                 1.2185,             0.00097528,             0.00097528,             0.00097528
                    114,                 1.0573,                0.75519,                  1.108,                0.74491,                0.81831,                0.84774,                0.58072,                  1.207,                 1.1782,                 1.2163,              0.0009728,              0.0009728,              0.0009728
                    115,                0.99482,                0.74628,                 1.0929,                0.77214,                0.88456,                0.88305,                0.59401,                 1.2972,                0.83279,                  1.227,             0.00097033,             0.00097033,             0.00097033
                    116,                 1.0386,                0.82191,                 1.1435,                0.77685,                0.89774,                0.84621,                0.57785,                 1.2215,                 1.0698,                 1.1973,             0.00096785,             0.00096785,             0.00096785
                    117,                 1.0542,                0.82279,                 1.0963,                0.74572,                0.78175,                0.86516,                0.59449,                 1.2301,                  1.029,                  1.215,             0.00096537,             0.00096537,             0.00096537
                    118,                 1.1601,                0.86611,                 1.2018,                0.87887,                0.76908,                0.87464,                0.61366,                 1.2185,                0.90466,                 1.1757,              0.0009629,              0.0009629,              0.0009629
                    119,                 1.0631,                0.74087,                  1.132,                0.73522,                0.88727,                0.87193,                0.57113,                 1.2449,                 1.0377,                 1.1985,             0.00096043,             0.00096043,             0.00096043
                    120,                 1.1233,                0.76778,                  1.155,                0.79015,                0.79762,                0.86176,                 0.5736,                 1.1703,                 1.1809,                 1.1757,             0.00095795,             0.00095795,             0.00095795
                    121,                  1.047,                0.73293,                 1.0918,                0.88234,                0.67986,                  0.907,                0.56563,                 1.3029,                 1.3326,                 1.2462,             0.00095548,             0.00095548,             0.00095548
                    122,                0.99034,                0.72306,                 1.1086,                0.75653,                 0.9051,                0.92218,                0.60273,                 1.2544,                 1.0382,                 1.1799,               0.000953,               0.000953,               0.000953
                    123,                 1.0631,                0.72059,                 1.0854,                0.78024,                0.90277,                0.88832,                0.61782,                 1.1492,                0.87228,                 1.1336,             0.00095053,             0.00095053,             0.00095053
                    124,                0.98285,                0.70818,                 1.0524,                0.66589,                0.89286,                0.87434,                0.60834,                 1.1941,                0.97484,                 1.1622,             0.00094805,             0.00094805,             0.00094805
                    125,                 1.0738,                0.72581,                  1.162,                0.59918,                0.76773,                0.84326,                0.57005,                 1.2272,                 1.2162,                 1.1962,             0.00094558,             0.00094558,             0.00094558
                    126,                 1.0057,                  0.753,                 1.1087,                0.62784,                0.82308,                0.84014,                0.55909,                 1.2685,                 1.0623,                 1.2035,              0.0009431,              0.0009431,              0.0009431
                    127,                 1.1409,                0.78844,                 1.1345,                 0.8027,                0.79012,                0.86517,                0.58761,                 1.2154,                 1.1439,                 1.1983,             0.00094062,             0.00094062,             0.00094062
                    128,                   0.98,                0.68344,                 1.0682,                0.78682,                0.81016,                0.87399,                0.58446,                   1.27,                  1.095,                 1.1957,             0.00093815,             0.00093815,             0.00093815
                    129,                 1.0152,                0.68745,                 1.0701,                0.71927,                0.89235,                0.85198,                0.59442,                 1.2133,                0.93171,                 1.1748,             0.00093567,             0.00093567,             0.00093567
                    130,                 1.0552,                0.70606,                 1.0933,                0.76686,                0.87054,                0.88518,                0.59732,                 1.1785,                0.97774,                 1.1979,              0.0009332,              0.0009332,              0.0009332
                    131,                 1.0221,                0.67366,                 1.0746,                0.71818,                0.85978,                0.88542,                0.54306,                 1.2881,                 1.1358,                 1.2119,             0.00093073,             0.00093073,             0.00093073
                    132,                0.98855,                0.66967,                 1.0588,                0.88676,                0.68434,                0.80334,                0.53112,                 1.1958,                 1.2104,                 1.1469,             0.00092825,             0.00092825,             0.00092825
                    133,                 1.0046,                0.70445,                 1.0804,                0.79309,                0.84076,                0.83038,                0.57163,                 1.1931,                0.98584,                 1.1442,             0.00092577,             0.00092577,             0.00092577
                    134,                 1.0508,                0.75717,                 1.0729,                0.74945,                0.87397,                0.91762,                0.60631,                 1.2721,                 1.0966,                  1.218,              0.0009233,              0.0009233,              0.0009233
                    135,                0.99351,                0.69304,                 1.0756,                0.78975,                0.73915,                0.76626,                0.49492,                 1.2266,                 1.6736,                 1.1851,             0.00092083,             0.00092083,             0.00092083
                    136,                 1.0095,                0.72136,                 1.1002,                0.76996,                0.90278,                0.90659,                0.59182,                 1.1939,                0.99687,                 1.1681,             0.00091835,             0.00091835,             0.00091835
                    137,                 1.1107,                0.72223,                 1.1628,                0.72789,                  0.875,                0.85886,                0.58118,                 1.2041,                0.97739,                 1.1824,             0.00091588,             0.00091588,             0.00091588
